seed,variant,variant_display_label,is_baseline_nheft,configured_tolerance,configured_comp_advantage,configured_drt_advantage,configured_irt_advantage,ccr_data,idr_image,nccr_total,heft_makespan,heft_slr,heft_vcpus,heft_hosts,heft_instances,heft_image_dl_total,heft_image_from_repo,heft_image_from_host,dheft_makespan,dheft_slr,dheft_vcpus,dheft_hosts,dheft_instances,dheft_image_dl_total,dheft_image_from_repo,dheft_image_from_host,nheft_makespan,nheft_slr,nheft_vcpus,nheft_hosts,nheft_instances,nheft_image_dl_total,nheft_image_from_repo,nheft_image_from_host,time_sec,return_code,status,log_file
747642,baseline,NHEFT,1,0.0,0,0,0,2.2127,1.3177,3.5304,951.7760999999991,21.5195,5,3,44,466,466,0,165.8035,3.7488,32,7,212,101,56,45,94.78281851851852,2.143,36,12,289,133,85,48,6.556773,0,ok,logs/seed_747642.log
747642,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.2127,1.3177,3.5304,951.7760999999991,21.5195,5,3,44,466,466,0,165.8035,3.7488,32,7,212,101,56,45,813.4760457297305,18.3926,1,1,22,20,20,0,6.556773,0,ok,logs/seed_747642.log
664527,baseline,NHEFT,1,0.0,0,0,0,2.4737,1.9051,4.3788,693.1569000000005,16.8574,4,2,54,485,485,0,149.65370000000001,3.6395,24,7,221,91,49,42,97.39023244131269,2.3685,42,11,313,161,88,73,7.979908,0,ok,logs/seed_664527.log
664527,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.4737,1.9051,4.3788,693.1569000000005,16.8574,4,2,54,485,485,0,149.65370000000001,3.6395,24,7,221,91,49,42,2235.8126522597067,54.3745,1,1,22,26,26,0,7.979908,0,ok,logs/seed_664527.log
760044,baseline,NHEFT,1,0.0,0,0,0,2.1735,1.3523,3.5258,1150.1096000000002,21.8338,4,2,28,458,458,0,157.5849,2.9916,25,9,194,99,51,48,101.67163272882469,1.9301,43,11,292,154,94,60,7.474259,0,ok,logs/seed_760044.log
760044,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.1735,1.3523,3.5258,1150.1096000000002,21.8338,4,2,28,458,458,0,157.5849,2.9916,25,9,194,99,51,48,1178.8616956338635,22.3796,1,1,22,20,20,0,7.474259,0,ok,logs/seed_760044.log
215549,baseline,NHEFT,1,0.0,0,0,0,2.4495,1.7284,4.1779,967.6847999999998,27.6335,3,1,30,465,465,0,119.88069999999999,3.4233,23,5,203,67,44,23,95.65274148682266,2.7315,44,10,292,134,79,55,10.070596,0,ok,logs/seed_215549.log
215549,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.4495,1.7284,4.1779,967.6847999999998,27.6335,3,1,30,465,465,0,119.88069999999999,3.4233,23,5,203,67,44,23,700.7014085281421,20.0094,1,1,22,21,21,0,10.070596,0,ok,logs/seed_215549.log
370191,baseline,NHEFT,1,0.0,0,0,0,2.3393,1.6166,3.9559,1160.177499999996,32.7603,4,2,33,469,469,0,130.92779999999996,3.6971,20,4,208,56,38,18,96.35297574692444,2.7208,48,11,287,133,78,55,10.825862,0,ok,logs/seed_370191.log
370191,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.3393,1.6166,3.9559,1160.177499999996,32.7603,4,2,33,469,469,0,130.92779999999996,3.6971,20,4,208,56,38,18,986.0290694270655,27.8428,1,1,22,20,20,0,10.825862,0,ok,logs/seed_370191.log
296947,baseline,NHEFT,1,0.0,0,0,0,2.173,1.6999,3.8729,1048.5731999999998,23.1249,4,2,43,471,471,0,182.83100000000002,4.0321,39,11,251,122,49,73,134.701,2.9706,32,9,271,132,79,53,9.53668,0,ok,logs/seed_296947.log
296947,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.173,1.6999,3.8729,1048.5731999999998,23.1249,4,2,43,471,471,0,182.83100000000002,4.0321,39,11,251,122,49,73,2181.473630377625,48.1094,1,1,22,23,23,0,9.53668,0,ok,logs/seed_296947.log
963598,baseline,NHEFT,1,0.0,0,0,0,2.5659,1.6726,4.2385,1021.3538999999976,26.6032,4,2,26,459,459,0,130.42269999999996,3.3971,26,9,192,82,47,35,89.60012052415489,2.3338,35,10,290,153,93,60,8.446212,0,ok,logs/seed_963598.log
963598,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.5659,1.6726,4.2385,1021.3538999999976,26.6032,4,2,26,459,459,0,130.42269999999996,3.3971,26,9,192,82,47,35,1200.3603815425176,31.2658,1,1,22,22,22,0,8.446212,0,ok,logs/seed_963598.log
388451,baseline,NHEFT,1,0.0,0,0,0,2.4069,1.6151,4.022,835.1589000000004,22.2635,3,2,41,465,465,0,114.1227,3.0423,30,7,245,79,45,34,98.33938003949447,2.6215,43,12,298,152,91,61,6.518335,0,ok,logs/seed_388451.log
388451,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.4069,1.6151,4.022,835.1589000000004,22.2635,3,2,41,465,465,0,114.1227,3.0423,30,7,245,79,45,34,976.6068574728798,26.0342,1,1,22,20,20,0,6.518335,0,ok,logs/seed_388451.log
602873,baseline,NHEFT,1,0.0,0,0,0,2.2767,1.4459,3.7226,827.1754,17.0997,4,2,46,465,465,0,144.5477,2.9881,33,9,214,96,49,47,90.71958637046781,1.8754,40,9,307,153,83,70,8.446575,0,ok,logs/seed_602873.log
602873,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.2767,1.4459,3.7226,827.1754,17.0997,4,2,46,465,465,0,144.5477,2.9881,33,9,214,96,49,47,1780.1628676300581,36.8002,1,1,22,23,23,0,8.446575,0,ok,logs/seed_602873.log
122745,baseline,NHEFT,1,0.0,0,0,0,2.4395,1.4048,3.8443,1058.9134999999992,30.5233,3,2,41,466,466,0,130.4791,3.7611,37,9,247,98,43,55,89.07605633596837,2.5676,45,12,324,156,80,76,6.937434,0,ok,logs/seed_122745.log
122745,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.4395,1.4048,3.8443,1058.9134999999992,30.5233,3,2,41,466,466,0,130.4791,3.7611,37,9,247,98,43,55,1202.993339561404,34.6764,1,1,22,21,21,0,6.937434,0,ok,logs/seed_122745.log
484762,baseline,NHEFT,1,0.0,0,0,0,2.4875,1.8001,4.2876,758.9103000000001,21.61,4,2,49,456,456,0,110.89359999999999,3.1577,27,7,223,73,43,30,83.45446716979839,2.3764,45,11,297,156,87,69,6.611783,0,ok,logs/seed_484762.log
484762,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.4875,1.8001,4.2876,758.9103000000001,21.61,4,2,49,456,456,0,110.89359999999999,3.1577,27,7,223,73,43,30,888.6516756791808,25.3044,1,1,22,20,20,0,6.611783,0,ok,logs/seed_484762.log
514215,baseline,NHEFT,1,0.0,0,0,0,2.643,1.536,4.179,993.5242999999984,25.2754,6,4,65,457,457,0,152.53930000000003,3.8806,25,9,210,92,53,39,96.9864163846154,2.4674,39,11,266,129,83,46,6.476807,0,ok,logs/seed_514215.log
514215,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.643,1.536,4.179,993.5242999999984,25.2754,6,4,65,457,457,0,152.53930000000003,3.8806,25,9,210,92,53,39,810.6875679088463,20.624,1,1,22,21,21,0,6.476807,0,ok,logs/seed_514215.log
601161,baseline,NHEFT,1,0.0,0,0,0,2.1482,1.4277,3.5759,805.7093999999989,18.3529,4,2,43,459,459,0,128.24759999999995,2.9213,31,10,225,100,46,54,110.15798575031526,2.5092,32,9,260,119,79,40,5.53571,0,ok,logs/seed_601161.log
601161,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.1482,1.4277,3.5759,805.7093999999989,18.3529,4,2,43,459,459,0,128.24759999999995,2.9213,31,10,225,100,46,54,1022.0034511709399,23.2798,1,1,22,21,21,0,5.53571,0,ok,logs/seed_601161.log
78435,baseline,NHEFT,1,0.0,0,0,0,2.2467,1.3824,3.6291,776.7761000000008,17.8346,3,2,42,448,448,0,137.89549999999997,3.166,23,7,193,86,47,39,83.5257148527132,1.9177,36,10,272,151,92,59,5.935435,0,ok,logs/seed_78435.log
78435,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.2467,1.3824,3.6291,776.7761000000008,17.8346,3,2,42,448,448,0,137.89549999999997,3.166,23,7,193,86,47,39,1537.4080191214462,35.2985,1,1,22,21,21,0,5.935435,0,ok,logs/seed_78435.log
480957,baseline,NHEFT,1,0.0,0,0,0,2.506,1.4653,3.9713,673.5775000000004,19.3747,3,2,41,448,448,0,114.33080000000001,3.2886,25,7,211,90,51,39,88.31189499834015,2.5402,35,13,270,131,77,54,6.41095,0,ok,logs/seed_480957.log
480957,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.506,1.4653,3.9713,673.5775000000004,19.3747,3,2,41,448,448,0,114.33080000000001,3.2886,25,7,211,90,51,39,1334.6042948594243,38.3883,1,1,22,21,21,0,6.41095,0,ok,logs/seed_480957.log
113260,baseline,NHEFT,1,0.0,0,0,0,2.734,1.7665,4.5005,976.6766000000009,21.397,3,2,42,499,499,0,134.5355,2.9474,32,9,248,101,46,55,97.15906418887744,2.1286,45,11,323,163,101,62,9.555913,0,ok,logs/seed_113260.log
113260,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.734,1.7665,4.5005,976.6766000000009,21.397,3,2,42,499,499,0,134.5355,2.9474,32,9,248,101,46,55,1685.6580890457392,36.9294,1,1,22,34,34,0,9.555913,0,ok,logs/seed_113260.log
846854,baseline,NHEFT,1,0.0,0,0,0,2.3493,1.6248,3.9741,874.5224000000006,25.4084,3,2,23,425,425,0,112.846,3.2786,22,5,167,58,41,17,91.42634377456648,2.6563,39,9,252,118,71,47,5.222836,0,ok,logs/seed_846854.log
846854,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.3493,1.6248,3.9741,874.5224000000006,25.4084,3,2,23,425,425,0,112.846,3.2786,22,5,167,58,41,17,751.2109375081674,21.8257,1,1,22,20,20,0,5.222836,0,ok,logs/seed_846854.log
422970,baseline,NHEFT,1,0.0,0,0,0,2.3626,1.7866,4.1492,800.0727000000016,20.6129,3,2,42,437,437,0,130.0656,3.351,28,8,217,91,47,44,107.54530889235569,2.7708,52,12,281,151,89,62,7.622167,0,ok,logs/seed_422970.log
422970,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.3626,1.7866,4.1492,800.0727000000016,20.6129,3,2,42,437,437,0,130.0656,3.351,28,8,217,91,47,44,1443.350123349206,37.1862,1,1,22,20,20,0,7.622167,0,ok,logs/seed_422970.log
762973,baseline,NHEFT,1,0.0,0,0,0,2.7686,1.4012,4.1698,751.4015000000009,18.2528,3,2,33,468,468,0,100.3749,2.4383,27,8,213,83,44,39,99.0392789661017,2.4058,42,11,281,140,89,51,5.996383,0,ok,logs/seed_762973.log
762973,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.7686,1.4012,4.1698,751.4015000000009,18.2528,3,2,33,468,468,0,100.3749,2.4383,27,8,213,83,44,39,860.0218763371163,20.8914,1,1,22,20,20,0,5.996383,0,ok,logs/seed_762973.log
303068,baseline,NHEFT,1,0.0,0,0,0,2.8538,2.1033,4.9571,1283.4788000000008,36.5103,2,2,22,496,496,0,153.21200000000005,4.3583,31,9,199,89,47,42,113.89233431054839,3.2398,47,12,303,173,87,86,7.548308,0,ok,logs/seed_303068.log
303068,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.8538,2.1033,4.9571,1283.4788000000008,36.5103,2,2,22,496,496,0,153.21200000000005,4.3583,31,9,199,89,47,42,1199.1873711428566,34.1125,1,1,22,21,21,0,7.548308,0,ok,logs/seed_303068.log
701483,baseline,NHEFT,1,0.0,0,0,0,2.9518,1.9863,4.9381,846.8850000000006,27.378,4,2,38,447,447,0,145.27290000000002,4.6964,24,6,193,81,44,37,91.76906501484999,2.9667,51,12,293,175,90,85,5.909666,0,ok,logs/seed_701483.log
701483,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.9518,1.9863,4.9381,846.8850000000006,27.378,4,2,38,447,447,0,145.27290000000002,4.6964,24,6,193,81,44,37,878.2860902136756,28.3932,1,1,22,20,20,0,5.909666,0,ok,logs/seed_701483.log
193272,baseline,NHEFT,1,0.0,0,0,0,2.505,1.8341,4.3391,770.356499999999,17.2488,4,2,44,460,460,0,121.55210000000002,2.7216,25,8,234,81,45,36,94.07923858335622,2.1065,47,11,330,172,90,82,10.082796,0,ok,logs/seed_193272.log
193272,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.505,1.8341,4.3391,770.356499999999,17.2488,4,2,44,460,460,0,121.55210000000002,2.7216,25,8,234,81,45,36,2119.825560474258,47.4643,1,1,22,25,25,0,10.082796,0,ok,logs/seed_193272.log
609026,baseline,NHEFT,1,0.0,0,0,0,2.3164,1.5201,3.8365,826.9868000000023,22.742,4,2,43,463,463,0,112.53999999999998,3.0948,26,8,231,74,43,31,85.35068201960634,2.3471,51,11,327,153,94,59,8.186104,0,ok,logs/seed_609026.log
609026,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.3164,1.5201,3.8365,826.9868000000023,22.742,4,2,43,463,463,0,112.53999999999998,3.0948,26,8,231,74,43,31,969.7147442518963,26.667,1,1,22,20,20,0,8.186104,0,ok,logs/seed_609026.log
385324,baseline,NHEFT,1,0.0,0,0,0,2.6375,1.9383,4.5758,867.3775000000002,27.3645,4,2,35,473,473,0,120.6305,3.8057,19,5,173,59,41,18,92.65327293316764,2.9231,42,11,301,146,90,56,6.812461,0,ok,logs/seed_385324.log
385324,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.6375,1.9383,4.5758,867.3775000000002,27.3645,4,2,35,473,473,0,120.6305,3.8057,19,5,173,59,41,18,2199.4856201616158,69.3905,1,1,22,21,21,0,6.812461,0,ok,logs/seed_385324.log
586699,baseline,NHEFT,1,0.0,0,0,0,2.4182,1.731,4.1492,891.1092999999977,23.2454,3,2,38,430,430,0,139.4082,3.6366,23,6,180,63,44,19,101.85817697055003,2.6571,38,11,253,135,73,62,6.648662,0,ok,logs/seed_586699.log
586699,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.4182,1.731,4.1492,891.1092999999977,23.2454,3,2,38,430,430,0,139.4082,3.6366,23,6,180,63,44,19,1153.7309766666674,30.0962,1,1,22,22,22,0,6.648662,0,ok,logs/seed_586699.log
127154,baseline,NHEFT,1,0.0,0,0,0,2.8125,1.8472,4.6597,808.7762000000001,29.3328,5,3,49,491,491,0,140.59900000000002,5.0993,25,7,232,83,51,32,107.23215584702979,3.8891,38,10,290,146,89,57,5.953044,0,ok,logs/seed_127154.log
127154,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.8125,1.8472,4.6597,808.7762000000001,29.3328,5,3,49,491,491,0,140.59900000000002,5.0993,25,7,232,83,51,32,1041.8565975185747,37.7862,1,1,22,21,21,0,5.953044,0,ok,logs/seed_127154.log
140763,baseline,NHEFT,1,0.0,0,0,0,2.4116,1.5607,3.9723,828.1006000000004,21.8803,2,1,42,460,460,0,134.1357,3.5442,32,9,214,99,51,48,99.75427186092716,2.6357,38,11,300,151,89,62,7.091539,0,ok,logs/seed_140763.log
140763,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.4116,1.5607,3.9723,828.1006000000004,21.8803,2,1,42,460,460,0,134.1357,3.5442,32,9,214,99,51,48,814.1210851192055,21.5109,1,1,22,22,22,0,7.091539,0,ok,logs/seed_140763.log
162375,baseline,NHEFT,1,0.0,0,0,0,2.7288,1.9166,4.6454,823.1387999999998,20.3568,3,2,33,444,444,0,143.01590000000004,3.5369,28,9,175,80,41,39,89.4221626271777,2.2115,33,10,261,111,70,41,6.682929,0,ok,logs/seed_162375.log
162375,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.7288,1.9166,4.6454,823.1387999999998,20.3568,3,2,33,444,444,0,143.01590000000004,3.5369,28,9,175,80,41,39,2048.7599044703834,50.6672,1,1,22,21,21,0,6.682929,0,ok,logs/seed_162375.log
320372,baseline,NHEFT,1,0.0,0,0,0,2.7703,2.2094,4.9797,824.0427000000016,22.4645,3,2,42,462,462,0,129.1256,3.5201,23,6,205,65,43,22,98.14365636921166,2.6755,46,11,299,161,85,76,6.772621,0,ok,logs/seed_320372.log
320372,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.7703,2.2094,4.9797,824.0427000000016,22.4645,3,2,42,462,462,0,129.1256,3.5201,23,6,205,65,43,22,892.8565939497105,24.3405,1,1,22,20,20,0,6.772621,0,ok,logs/seed_320372.log
911752,baseline,NHEFT,1,0.0,0,0,0,2.9054,1.7423,4.6477,758.8316999999998,19.416,3,2,42,465,465,0,119.23249999999999,3.0508,31,6,239,92,49,43,96.64445136993146,2.4728,43,10,276,140,88,52,10.067961,0,ok,logs/seed_911752.log
911752,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.9054,1.7423,4.6477,758.8316999999998,19.416,3,2,42,465,465,0,119.23249999999999,3.0508,31,6,239,92,49,43,795.4082229117394,20.3519,1,1,22,20,20,0,10.067961,0,ok,logs/seed_911752.log
185527,baseline,NHEFT,1,0.0,0,0,0,2.5799,1.5478,4.1277,779.9295000000003,16.1243,5,2,44,475,475,0,132.25549999999996,2.7343,31,9,251,114,47,67,105.81402471910113,2.1876,37,9,285,160,94,66,9.059249,0,ok,logs/seed_185527.log
185527,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.5799,1.5478,4.1277,779.9295000000003,16.1243,5,2,44,475,475,0,132.25549999999996,2.7343,31,9,251,114,47,67,805.9462858564477,16.6622,1,1,22,20,20,0,9.059249,0,ok,logs/seed_185527.log
766339,baseline,NHEFT,1,0.0,0,0,0,2.7567,1.7278,4.4845,1400.9542000000001,37.9262,4,4,49,450,450,0,176.08870000000002,4.767,34,10,215,126,41,85,91.22163508681774,2.4695,46,11,296,161,77,84,6.524064,0,ok,logs/seed_766339.log
766339,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.7567,1.7278,4.4845,1400.9542000000001,37.9262,4,4,49,450,450,0,176.08870000000002,4.767,34,10,215,126,41,85,694.2803469191372,18.7953,1,1,22,20,20,0,6.524064,0,ok,logs/seed_766339.log
911829,baseline,NHEFT,1,0.0,0,0,0,2.4883,1.5879,4.0762,1350.7185999999979,26.7262,6,4,57,473,473,0,170.8341,3.3802,32,9,221,89,36,53,112.25441028914692,2.2211,37,9,309,148,89,59,9.475013,0,ok,logs/seed_911829.log
911829,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.4883,1.5879,4.0762,1350.7185999999979,26.7262,6,4,57,473,473,0,170.8341,3.3802,32,9,221,89,36,53,1251.6041205471683,24.765,1,1,22,21,21,0,9.475013,0,ok,logs/seed_911829.log
184906,baseline,NHEFT,1,0.0,0,0,0,2.6564,1.732,4.3884,970.2254999999983,22.6304,3,2,23,446,446,0,114.2706,2.6654,26,5,202,65,44,21,96.3052380877193,2.2463,41,10,278,147,88,59,5.733221,0,ok,logs/seed_184906.log
184906,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.6564,1.732,4.3884,970.2254999999983,22.6304,3,2,23,446,446,0,114.2706,2.6654,26,5,202,65,44,21,1131.900796997855,26.4015,1,1,22,25,25,0,5.733221,0,ok,logs/seed_184906.log
189090,baseline,NHEFT,1,0.0,0,0,0,2.6471,1.4159,4.063,850.2405000000002,24.1207,3,2,33,448,448,0,116.8962,3.3163,26,7,205,86,47,39,93.6798229039548,2.6576,45,12,296,157,101,56,8.120963,0,ok,logs/seed_189090.log
189090,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.6471,1.4159,4.063,850.2405000000002,24.1207,3,2,33,448,448,0,116.8962,3.3163,26,7,205,86,47,39,1120.273154437979,31.7813,1,1,22,20,20,0,8.120963,0,ok,logs/seed_189090.log
355619,baseline,NHEFT,1,0.0,0,0,0,2.2006,1.5672,3.7678,928.5493999999994,20.3821,3,2,42,469,469,0,143.9159,3.159,29,8,228,83,52,31,112.05317893411348,2.4596,50,12,327,152,91,61,7.142312,0,ok,logs/seed_355619.log
355619,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.2006,1.5672,3.7678,928.5493999999994,20.3821,3,2,42,469,469,0,143.9159,3.159,29,8,228,83,52,31,1639.3251533742337,35.9839,1,1,22,26,26,0,7.142312,0,ok,logs/seed_355619.log
440123,baseline,NHEFT,1,0.0,0,0,0,2.3331,1.7112,4.0443,657.9632999999997,14.2135,4,2,52,474,474,0,143.54589999999996,3.1009,27,10,215,95,42,53,112.67349773777096,2.434,48,12,328,180,99,81,7.913795,0,ok,logs/seed_440123.log
440123,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.3331,1.7112,4.0443,657.9632999999997,14.2135,4,2,52,474,474,0,143.54589999999996,3.1009,27,10,215,95,42,53,919.9766576356594,19.8736,1,1,22,20,20,0,7.913795,0,ok,logs/seed_440123.log
65843,baseline,NHEFT,1,0.0,0,0,0,2.6698,1.4775,4.1473,1158.3389000000002,33.6172,3,3,42,426,426,0,145.75220000000002,4.23,38,10,219,97,40,57,87.33535817895212,2.5346,37,9,275,144,91,53,5.114945,0,ok,logs/seed_65843.log
65843,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.6698,1.4775,4.1473,1158.3389000000002,33.6172,3,3,42,426,426,0,145.75220000000002,4.23,38,10,219,97,40,57,699.6279990810807,20.3046,1,1,22,21,21,0,5.114945,0,ok,logs/seed_65843.log
356002,baseline,NHEFT,1,0.0,0,0,0,2.7753,1.5593,4.3346,772.7321000000023,20.7193,3,1,35,454,454,0,128.88500000000002,3.4558,24,7,177,78,44,34,82.48147155655298,2.2116,34,10,258,124,78,46,8.120677,0,ok,logs/seed_356002.log
356002,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.7753,1.5593,4.3346,772.7321000000023,20.7193,3,1,35,454,454,0,128.88500000000002,3.4558,24,7,177,78,44,34,654.5616483312299,17.5508,1,1,22,20,20,0,8.120677,0,ok,logs/seed_356002.log
546160,baseline,NHEFT,1,0.0,0,0,0,2.665,1.5899,4.2549,1006.4457999999998,18.071,4,3,46,469,469,0,145.75739999999993,2.6171,25,8,210,90,50,40,96.38871510948573,1.7307,40,10,292,176,109,67,6.660152,0,ok,logs/seed_546160.log
546160,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.665,1.5899,4.2549,1006.4457999999998,18.071,4,3,46,469,469,0,145.75739999999993,2.6171,25,8,210,90,50,40,1307.0524514472047,23.4685,1,1,22,22,22,0,6.660152,0,ok,logs/seed_546160.log
466702,baseline,NHEFT,1,0.0,0,0,0,2.121,1.1765,3.2975,783.0885999999974,21.962,3,2,42,469,469,0,126.16960000000003,3.5385,26,10,208,89,44,45,82.78032991566266,2.3216,43,12,305,145,82,63,8.225829,0,ok,logs/seed_466702.log
466702,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.121,1.1765,3.2975,783.0885999999974,21.962,3,2,42,469,469,0,126.16960000000003,3.5385,26,10,208,89,44,45,1182.9296539638551,33.1756,1,1,22,23,23,0,8.225829,0,ok,logs/seed_466702.log
108594,baseline,NHEFT,1,0.0,0,0,0,2.3479,1.4953,3.8432,859.6363999999974,24.9988,3,2,40,450,450,0,123.05349999999999,3.5785,24,6,200,63,43,20,90.74161847547914,2.6388,44,12,294,161,83,78,6.951848,0,ok,logs/seed_108594.log
108594,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.3479,1.4953,3.8432,859.6363999999974,24.9988,3,2,40,450,450,0,123.05349999999999,3.5785,24,6,200,63,43,20,2125.2501153846156,61.8037,1,1,22,24,24,0,6.951848,0,ok,logs/seed_108594.log
302326,baseline,NHEFT,1,0.0,0,0,0,2.6709,1.6511,4.322,921.3655000000007,22.7535,4,2,33,473,473,0,135.28150000000005,3.3408,28,8,201,102,46,56,83.84644833293844,2.0706,33,10,267,123,73,50,5.738943,0,ok,logs/seed_302326.log
302326,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.6709,1.6511,4.322,921.3655000000007,22.7535,4,2,33,473,473,0,135.28150000000005,3.3408,28,8,201,102,46,56,990.6312270505709,24.464,1,1,22,20,20,0,5.738943,0,ok,logs/seed_302326.log
