seed,variant,variant_display_label,is_baseline_nheft,configured_tolerance,configured_comp_advantage,configured_drt_advantage,configured_irt_advantage,ccr_data,idr_image,nccr_total,heft_makespan,heft_slr,heft_vcpus,heft_hosts,heft_instances,heft_image_dl_total,heft_image_from_repo,heft_image_from_host,dheft_makespan,dheft_slr,dheft_vcpus,dheft_hosts,dheft_instances,dheft_image_dl_total,dheft_image_from_repo,dheft_image_from_host,nheft_makespan,nheft_slr,nheft_vcpus,nheft_hosts,nheft_instances,nheft_image_dl_total,nheft_image_from_repo,nheft_image_from_host,time_sec,return_code,status,log_file
747642,baseline,NHEFT,1,0.0,0,0,0,0.164,0.1403,0.3043,140.41250000000008,3.1747,11,3,137,466,466,0,45.624199999999995,1.0316,42,10,328,144,39,105,45.29623783783785,1.0241,51,12,330,173,114,59,6.996376,0,ok,logs/seed_747642.log
747642,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.164,0.1403,0.3043,140.41250000000008,3.1747,11,3,137,466,466,0,45.624199999999995,1.0316,42,10,328,144,39,105,866.4278756756761,19.5898,1,1,22,25,25,0,6.996376,0,ok,logs/seed_747642.log
664527,baseline,NHEFT,1,0.0,0,0,0,0.1826,0.2115,0.3941,197.8717999999997,4.8074,13,4,105,485,485,0,50.34990000000001,1.2233,43,9,335,115,50,65,45.504926499739184,1.1056,58,13,356,166,126,40,8.677799,0,ok,logs/seed_664527.log
664527,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1826,0.2115,0.3941,197.8717999999997,4.8074,13,4,105,485,485,0,50.34990000000001,1.2233,43,9,335,115,50,65,2234.2022130490136,54.2814,1,1,22,29,29,0,8.677799,0,ok,logs/seed_664527.log
760044,baseline,NHEFT,1,0.0,0,0,0,0.1603,0.1511,0.3114,144.22360000000003,2.7351,13,4,136,458,458,0,53.030499999999996,1.0057,46,10,313,126,35,91,53.030482481751825,1.0057,59,13,321,171,117,54,8.020438,0,ok,logs/seed_760044.log
760044,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1603,0.1511,0.3114,144.22360000000003,2.7351,13,4,136,458,458,0,53.030499999999996,1.0057,46,10,313,126,35,91,1277.1561215629522,24.2205,1,1,22,30,30,0,8.020438,0,ok,logs/seed_760044.log
215549,baseline,NHEFT,1,0.0,0,0,0,0.181,0.1884,0.3694,155.34920000000022,4.3963,12,2,113,465,465,0,44.14599999999999,1.2493,46,9,323,122,48,74,40.47928353413655,1.1455,55,12,341,155,110,45,9.292599,0,ok,logs/seed_215549.log
215549,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.181,0.1884,0.3694,155.34920000000022,4.3963,12,2,113,465,465,0,44.14599999999999,1.2493,46,9,323,122,48,74,738.5672743253665,20.9009,1,1,22,23,23,0,9.292599,0,ok,logs/seed_215549.log
370191,baseline,NHEFT,1,0.0,0,0,0,0.1723,0.1838,0.3561,229.20139999999964,6.472,5,2,81,469,469,0,44.5529,1.2581,51,10,305,131,42,89,36.61457575886525,1.0339,59,13,333,146,103,43,9.220184,0,ok,logs/seed_370191.log
370191,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1723,0.1838,0.3561,229.20139999999964,6.472,5,2,81,469,469,0,44.5529,1.2581,51,10,305,131,42,89,1041.5651729349743,29.411,1,1,22,24,24,0,9.220184,0,ok,logs/seed_370191.log
296947,baseline,NHEFT,1,0.0,0,0,0,0.1605,0.1888,0.3493,252.08759999999967,5.509,8,2,99,471,471,0,51.44369999999999,1.1242,42,10,314,119,34,85,51.906139160839146,1.1343,56,13,345,178,112,66,10.543758,0,ok,logs/seed_296947.log
296947,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1605,0.1888,0.3493,252.08759999999967,5.509,8,2,99,471,471,0,51.44369999999999,1.1242,42,10,314,119,34,85,2258.0281818181866,49.3457,1,1,22,26,26,0,10.543758,0,ok,logs/seed_296947.log
963598,baseline,NHEFT,1,0.0,0,0,0,0.1901,0.1904,0.3805,146.5612000000002,3.7924,11,3,118,459,459,0,44.042,1.1396,43,10,330,123,40,83,44.04201974522293,1.1396,62,13,350,171,120,51,8.685061,0,ok,logs/seed_963598.log
963598,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1901,0.1904,0.3805,146.5612000000002,3.7924,11,3,118,459,459,0,44.042,1.1396,43,10,330,123,40,83,1203.9759305866835,31.1538,1,1,22,26,26,0,8.685061,0,ok,logs/seed_963598.log
388451,baseline,NHEFT,1,0.0,0,0,0,0.1781,0.1711,0.3492,181.72119999999998,4.8261,8,3,100,465,465,0,47.747699999999995,1.2681,42,8,319,124,50,74,42.695315613382895,1.1339,61,11,336,182,117,65,7.906311,0,ok,logs/seed_388451.log
388451,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1781,0.1711,0.3492,181.72119999999998,4.8261,8,3,100,465,465,0,47.747699999999995,1.2681,42,8,319,124,50,74,1034.4805592489574,27.4736,1,1,22,25,25,0,7.906311,0,ok,logs/seed_388451.log
602873,baseline,NHEFT,1,0.0,0,0,0,0.1679,0.1649,0.3328,165.2567999999999,3.3494,12,4,129,465,465,0,53.96459999999999,1.0937,37,9,312,103,39,64,55.56773697585769,1.1262,57,10,337,150,108,42,8.896938,0,ok,logs/seed_602873.log
602873,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1679,0.1649,0.3328,165.2567999999999,3.3494,12,4,129,465,465,0,53.96459999999999,1.0937,37,9,312,103,39,64,1799.3735537572259,36.4693,1,1,22,29,29,0,8.896938,0,ok,logs/seed_602873.log
122745,baseline,NHEFT,1,0.0,0,0,0,0.181,0.1558,0.3368,188.5815999999996,5.4359,10,3,102,466,466,0,43.4686,1.253,54,9,322,135,47,88,46.93896608187134,1.353,65,11,340,147,99,48,7.036064,0,ok,logs/seed_122745.log
122745,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.181,0.1558,0.3368,188.5815999999996,5.4359,10,3,102,466,466,0,43.4686,1.253,54,9,322,135,47,88,1275.11225614035,36.7552,1,1,22,25,25,0,7.036064,0,ok,logs/seed_122745.log
484762,baseline,NHEFT,1,0.0,0,0,0,0.1836,0.1983,0.3819,232.7239,6.6151,7,3,83,456,456,0,45.4503,1.2919,51,10,311,140,48,92,37.886638912733495,1.0769,66,14,337,179,126,53,7.12946,0,ok,logs/seed_484762.log
484762,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1836,0.1983,0.3819,232.7239,6.6151,7,3,83,456,456,0,45.4503,1.2919,51,10,311,140,48,92,950.0904071672356,27.006,1,1,22,30,30,0,7.12946,0,ok,logs/seed_484762.log
514215,baseline,NHEFT,1,0.0,0,0,0,0.1951,0.1616,0.3567,168.08069999999992,4.2605,8,3,106,457,457,0,41.61590000000001,1.0549,38,8,309,117,38,79,42.61402827272727,1.0802,58,12,323,177,128,49,5.85748,0,ok,logs/seed_514215.log
514215,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1951,0.1616,0.3567,168.08069999999992,4.2605,8,3,106,457,457,0,41.61590000000001,1.0549,38,8,309,117,38,79,869.1812214477204,22.0318,1,1,22,29,29,0,5.85748,0,ok,logs/seed_514215.log
601161,baseline,NHEFT,1,0.0,0,0,0,0.1588,0.16,0.3188,134.53930000000017,2.9991,14,4,166,459,459,0,52.615199999999994,1.1729,40,11,334,146,45,101,50.217964485981305,1.1194,64,14,343,207,153,54,5.802856,0,ok,logs/seed_601161.log
601161,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1588,0.16,0.3188,134.53930000000017,2.9991,14,4,166,459,459,0,52.615199999999994,1.1729,40,11,334,146,45,101,1086.840382051282,24.2277,1,1,22,26,26,0,5.802856,0,ok,logs/seed_601161.log
78435,baseline,NHEFT,1,0.0,0,0,0,0.166,0.1505,0.3165,159.53169999999974,3.64,11,4,113,448,448,0,49.11130000000001,1.1205,42,9,308,132,37,95,49.615280103359176,1.132,59,13,327,198,140,58,5.874463,0,ok,logs/seed_78435.log
78435,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.166,0.1505,0.3165,159.53169999999974,3.64,11,4,113,448,448,0,49.11130000000001,1.1205,42,9,308,132,37,95,1564.0842297157612,35.687,1,1,22,26,26,0,5.874463,0,ok,logs/seed_78435.log
480957,baseline,NHEFT,1,0.0,0,0,0,0.1854,0.1589,0.3443,133.39340000000038,3.7959,10,4,127,448,448,0,39.7185,1.1302,43,11,325,141,47,94,39.71852729306488,1.1302,56,12,320,177,134,43,6.507131,0,ok,logs/seed_480957.log
480957,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1854,0.1589,0.3443,133.39340000000038,3.7959,10,4,127,448,448,0,39.7185,1.1302,43,11,325,141,47,94,1451.2571977635769,41.2972,1,1,22,29,29,0,6.507131,0,ok,logs/seed_480957.log
113260,baseline,NHEFT,1,0.0,0,0,0,0.2022,0.2033,0.4055,231.93969999999956,5.0704,7,3,86,499,499,0,46.7738,1.0225,45,11,350,150,37,113,47.684191627447056,1.0424,61,14,361,197,122,75,9.543316,0,ok,logs/seed_113260.log
113260,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.2022,0.2033,0.4055,231.93969999999956,5.0704,7,3,86,499,499,0,46.7738,1.0225,45,11,350,150,37,113,1684.1374792207814,36.8164,1,1,22,32,32,0,9.543316,0,ok,logs/seed_113260.log
846854,baseline,NHEFT,1,0.0,0,0,0,0.1738,0.168,0.3418,93.77890000000014,2.7153,9,3,126,425,425,0,41.90669999999999,1.2134,39,9,288,116,37,79,37.24617919075144,1.0784,57,14,300,146,106,40,5.977174,0,ok,logs/seed_846854.log
846854,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1738,0.168,0.3418,93.77890000000014,2.7153,9,3,126,425,425,0,41.90669999999999,1.2134,39,9,288,116,37,79,806.0190081669692,23.3377,1,1,22,26,26,0,5.977174,0,ok,logs/seed_846854.log
422970,baseline,NHEFT,1,0.0,0,0,0,0.1742,0.2005,0.3747,210.46029999999988,5.4029,7,3,97,437,437,0,48.181099999999994,1.2369,41,10,289,113,39,74,41.5539523178808,1.0668,54,12,323,148,110,38,7.839022,0,ok,logs/seed_422970.log
422970,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1742,0.2005,0.3747,210.46029999999988,5.4029,7,3,97,437,437,0,48.181099999999994,1.2369,41,10,289,113,39,74,1523.1580460317457,39.1024,1,1,22,23,23,0,7.839022,0,ok,logs/seed_422970.log
762973,baseline,NHEFT,1,0.0,0,0,0,0.2043,0.1485,0.3528,89.53589999999994,2.175,11,3,157,468,468,0,41.4583,1.0071,43,9,315,114,43,71,41.458338910085054,1.0071,61,11,340,169,132,37,6.736651,0,ok,logs/seed_762973.log
762973,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.2043,0.1485,0.3528,89.53589999999994,2.175,11,3,157,468,468,0,41.4583,1.0071,43,9,315,114,43,71,922.04815278093,22.3981,1,1,22,28,28,0,6.736651,0,ok,logs/seed_762973.log
303068,baseline,NHEFT,1,0.0,0,0,0,0.2105,0.2304,0.4409,142.42120000000023,4.0307,8,3,106,496,496,0,43.818799999999996,1.2401,46,9,328,122,42,80,39.85201528571428,1.1278,61,13,359,176,132,44,7.682757,0,ok,logs/seed_303068.log
303068,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.2105,0.2304,0.4409,142.42120000000023,4.0307,8,3,106,496,496,0,43.818799999999996,1.2401,46,9,328,122,42,80,1275.416842857142,36.0955,1,1,22,27,27,0,7.682757,0,ok,logs/seed_303068.log
701483,baseline,NHEFT,1,0.0,0,0,0,0.2179,0.2103,0.4282,213.90200000000033,6.8877,6,3,77,447,447,0,43.9965,1.4167,41,11,303,127,45,82,44.73551836441894,1.4405,49,13,325,176,126,50,5.275744,0,ok,logs/seed_701483.log
701483,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.2179,0.2103,0.4282,213.90200000000033,6.8877,6,3,77,447,447,0,43.9965,1.4167,41,11,303,127,45,82,947.0652256410261,30.4958,1,1,22,28,28,0,5.275744,0,ok,logs/seed_701483.log
193272,baseline,NHEFT,1,0.0,0,0,0,0.1854,0.2064,0.3918,205.19679999999983,4.5422,8,3,106,460,460,0,49.46999999999999,1.0951,47,11,344,139,37,102,47.78149578783152,1.0577,66,14,336,164,111,53,6.631366,0,ok,logs/seed_193272.log
193272,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1854,0.2064,0.3918,205.19679999999983,4.5422,8,3,106,460,460,0,49.46999999999999,1.0951,47,11,344,139,37,102,2173.4637202808103,48.1118,1,1,22,28,28,0,6.631366,0,ok,logs/seed_193272.log
609026,baseline,NHEFT,1,0.0,0,0,0,0.1717,0.1697,0.3414,227.6688,6.2609,8,3,98,463,463,0,45.8796,1.2617,45,8,305,110,45,65,45.71309167492567,1.2571,67,12,355,183,139,44,7.846111,0,ok,logs/seed_609026.log
609026,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1717,0.1697,0.3414,227.6688,6.2609,8,3,98,463,463,0,45.8796,1.2617,45,8,305,110,45,65,1038.1805963581187,28.5498,1,1,22,27,27,0,7.846111,0,ok,logs/seed_609026.log
385324,baseline,NHEFT,1,0.0,0,0,0,0.1954,0.2167,0.4121,103.57970000000005,3.181,13,4,158,473,473,0,38.1293,1.171,53,12,338,130,40,90,37.71551052698201,1.1583,52,11,331,154,125,29,6.63344,0,ok,logs/seed_385324.log
385324,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1954,0.2167,0.4121,103.57970000000005,3.181,13,4,158,473,473,0,38.1293,1.171,53,12,338,130,40,90,2269.3552929292923,69.6925,1,1,22,25,25,0,6.63344,0,ok,logs/seed_385324.log
586699,baseline,NHEFT,1,0.0,0,0,0,0.1783,0.1873,0.3656,203.21720000000013,5.2148,9,4,96,430,430,0,42.72549999999999,1.0964,36,8,289,116,33,83,41.327521126760566,1.0605,54,12,313,159,116,43,5.825159,0,ok,logs/seed_586699.log
586699,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1783,0.1873,0.3656,203.21720000000013,5.2148,9,4,96,430,430,0,42.72549999999999,1.0964,36,8,289,116,33,83,1234.9328657657668,31.6899,1,1,22,28,28,0,5.825159,0,ok,logs/seed_586699.log
127154,baseline,NHEFT,1,0.0,0,0,0,0.2081,0.2076,0.4157,225.90630000000039,8.0818,6,3,73,491,491,0,42.960399999999986,1.5369,45,9,342,125,46,79,37.08898253968255,1.3269,67,13,356,175,118,57,5.401141,0,ok,logs/seed_127154.log
127154,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.2081,0.2076,0.4157,225.90630000000039,8.0818,6,3,73,491,491,0,42.960399999999986,1.5369,45,9,342,125,46,79,1118.9205582466577,40.0292,1,1,22,28,28,0,5.401141,0,ok,logs/seed_127154.log
140763,baseline,NHEFT,1,0.0,0,0,0,0.1786,0.1716,0.3502,146.7208000000001,3.8295,14,4,131,460,460,0,44.5205,1.162,41,8,304,127,47,80,44.03895517774343,1.1494,52,10,333,160,123,37,6.090973,0,ok,logs/seed_140763.log
140763,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1786,0.1716,0.3502,146.7208000000001,3.8295,14,4,131,460,460,0,44.5205,1.162,41,8,304,127,47,80,845.2375682119209,22.0612,1,1,22,28,28,0,6.090973,0,ok,logs/seed_140763.log
162375,baseline,NHEFT,1,0.0,0,0,0,0.2012,0.2142,0.4154,130.75809999999987,3.2337,10,3,121,444,444,0,43.016999999999996,1.0638,44,8,299,115,33,82,43.98117142857143,1.0877,56,11,323,154,109,45,5.709799,0,ok,logs/seed_162375.log
162375,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.2012,0.2142,0.4154,130.75809999999987,3.2337,10,3,121,444,444,0,43.016999999999996,1.0638,44,8,299,115,33,82,2151.6222020905916,53.2111,1,1,22,29,29,0,5.709799,0,ok,logs/seed_162375.log
320372,baseline,NHEFT,1,0.0,0,0,0,0.2046,0.2314,0.436,164.2346999999999,4.3487,13,3,119,462,462,0,47.2698,1.2516,56,13,331,152,39,113,45.7483571817563,1.2114,62,13,344,195,131,64,5.809306,0,ok,logs/seed_320372.log
320372,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.2046,0.2314,0.436,164.2346999999999,4.3487,13,3,119,462,462,0,47.2698,1.2516,56,13,331,152,39,113,942.2821634429406,24.9505,1,1,22,25,25,0,5.809306,0,ok,logs/seed_320372.log
911752,baseline,NHEFT,1,0.0,0,0,0,0.2145,0.1929,0.4074,150.8248999999999,3.8025,11,4,112,465,465,0,43.555899999999994,1.0981,36,7,324,109,46,63,44.77281294029851,1.1288,59,12,339,153,120,33,7.704219,0,ok,logs/seed_911752.log
911752,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.2145,0.1929,0.4074,150.8248999999999,3.8025,11,4,112,465,465,0,43.555899999999994,1.0981,36,7,324,109,46,63,855.3059814910021,21.5635,1,1,22,25,25,0,7.704219,0,ok,logs/seed_911752.log
185527,baseline,NHEFT,1,0.0,0,0,0,0.1908,0.1722,0.363,178.11460000000017,3.6663,9,4,126,475,475,0,52.77269999999999,1.0863,44,8,331,128,37,91,52.61395766423357,1.083,63,13,351,200,150,50,7.801378,0,ok,logs/seed_185527.log
185527,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1908,0.1722,0.363,178.11460000000017,3.6663,9,4,126,475,475,0,52.77269999999999,1.0863,44,8,331,128,37,91,856.6363576642335,17.6329,1,1,22,24,24,0,7.801378,0,ok,logs/seed_185527.log
766339,baseline,NHEFT,1,0.0,0,0,0,0.2029,0.1955,0.3984,192.0116999999997,4.9922,7,3,97,450,450,0,49.890699999999995,1.2971,40,9,302,136,40,96,46.90523226684636,1.2195,58,13,324,176,103,73,6.10032,0,ok,logs/seed_766339.log
766339,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.2029,0.1955,0.3984,192.0116999999997,4.9922,7,3,97,450,450,0,49.890699999999995,1.2971,40,9,302,136,40,96,739.1585450134768,19.2178,1,1,22,27,27,0,6.10032,0,ok,logs/seed_766339.log
911829,baseline,NHEFT,1,0.0,0,0,0,0.1835,0.1779,0.3614,200.24090000000015,3.9621,7,2,96,473,473,0,50.84620000000001,1.0061,40,8,315,110,35,75,51.54160048154094,1.0198,52,11,328,157,99,58,8.539746,0,ok,logs/seed_911829.log
911829,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1835,0.1779,0.3614,200.24090000000015,3.9621,7,2,96,473,473,0,50.84620000000001,1.0061,40,8,315,110,35,75,1340.9668602322192,26.5332,1,1,22,30,30,0,8.539746,0,ok,logs/seed_911829.log
184906,baseline,NHEFT,1,0.0,0,0,0,0.1956,0.1936,0.3892,111.16680000000004,2.593,10,4,128,446,446,0,43.51520000000001,1.015,42,10,302,114,40,74,43.22258498023715,1.0082,64,13,330,168,125,43,5.29817,0,ok,logs/seed_184906.log
184906,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1956,0.1936,0.3892,111.16680000000004,2.593,10,4,128,446,446,0,43.51520000000001,1.015,42,10,302,114,40,74,1146.3827266619007,26.7393,1,1,22,29,29,0,5.29817,0,ok,logs/seed_184906.log
189090,baseline,NHEFT,1,0.0,0,0,0,0.1958,0.1535,0.3493,145.95210000000006,4.1062,10,3,117,448,448,0,38.519200000000005,1.0837,44,9,315,123,41,82,37.12168311741587,1.0444,53,13,321,146,113,33,7.075515,0,ok,logs/seed_189090.log
189090,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1958,0.1535,0.3493,145.95210000000006,4.1062,10,3,117,448,448,0,38.519200000000005,1.0837,44,9,315,123,41,82,1191.9633681470136,33.5349,1,1,22,26,26,0,7.075515,0,ok,logs/seed_189090.log
355619,baseline,NHEFT,1,0.0,0,0,0,0.1618,0.1753,0.3371,281.71129999999977,6.1115,6,3,82,469,469,0,51.88089999999998,1.1255,47,13,319,136,40,96,53.638883657587556,1.1637,63,17,327,174,119,55,5.990486,0,ok,logs/seed_355619.log
355619,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1618,0.1753,0.3371,281.71129999999977,6.1115,6,3,82,469,469,0,51.88089999999998,1.1255,47,13,319,136,40,96,1637.2480280455752,35.5189,1,1,22,28,28,0,5.990486,0,ok,logs/seed_355619.log
440123,baseline,NHEFT,1,0.0,0,0,0,0.1726,0.1924,0.365,229.73580000000084,4.9628,7,3,94,474,474,0,48.09820000000002,1.039,57,12,331,150,37,113,49.690172941883766,1.0734,55,13,339,180,123,57,7.248904,0,ok,logs/seed_440123.log
440123,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1726,0.1924,0.365,229.73580000000084,4.9628,7,3,94,474,474,0,48.09820000000002,1.039,57,12,331,150,37,113,977.9036480620158,21.125,1,1,22,24,24,0,7.248904,0,ok,logs/seed_440123.log
65843,baseline,NHEFT,1,0.0,0,0,0,0.1969,0.1601,0.357,141.1707000000001,3.9788,10,3,106,426,426,0,39.129,1.1028,36,7,297,105,33,72,36.50182578796001,1.0288,61,11,317,154,104,50,4.649345,0,ok,logs/seed_65843.log
65843,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1969,0.1601,0.357,141.1707000000001,3.9788,10,3,106,426,426,0,39.129,1.1028,36,7,297,105,33,72,750.6445216216212,21.1567,1,1,22,29,29,0,4.649345,0,ok,logs/seed_65843.log
356002,baseline,NHEFT,1,0.0,0,0,0,0.2047,0.1699,0.3746,91.1853,2.4124,11,3,170,454,454,0,43.55069999999999,1.1522,47,9,331,137,49,88,42.0729649122807,1.1131,52,12,337,171,144,27,7.831864,0,ok,logs/seed_356002.log
356002,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.2047,0.1699,0.3746,91.1853,2.4124,11,3,170,454,454,0,43.55069999999999,1.1522,47,9,331,137,49,88,680.3359287066245,17.9993,1,1,22,25,25,0,7.831864,0,ok,logs/seed_356002.log
546160,baseline,NHEFT,1,0.0,0,0,0,0.1974,0.176,0.3734,131.8691000000001,2.3511,12,4,138,469,469,0,56.369199999999985,1.005,38,10,310,134,51,83,56.36922589118197,1.005,55,13,321,193,153,40,5.94977,0,ok,logs/seed_546160.log
546160,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1974,0.176,0.3734,131.8691000000001,2.3511,12,4,138,469,469,0,56.369199999999985,1.005,38,10,310,134,51,83,1391.4908708074527,24.8092,1,1,22,26,26,0,5.94977,0,ok,logs/seed_546160.log
466702,baseline,NHEFT,1,0.0,0,0,0,0.157,0.1276,0.2846,143.96220000000025,4.0375,11,4,124,469,469,0,45.903400000000005,1.2874,43,10,331,142,35,107,47.943180722891555,1.3446,57,12,334,178,135,43,7.335185,0,ok,logs/seed_466702.log
466702,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.157,0.1276,0.2846,143.96220000000025,4.0375,11,4,124,469,469,0,45.903400000000005,1.2874,43,10,331,142,35,107,1250.5569734939752,35.0722,1,1,22,26,26,0,7.335185,0,ok,logs/seed_466702.log
108594,baseline,NHEFT,1,0.0,0,0,0,0.1737,0.1671,0.3408,179.3081999999997,5.1955,8,4,110,450,450,0,42.594300000000004,1.2342,44,10,325,137,44,93,40.118466874027995,1.1624,58,13,340,171,116,55,6.617232,0,ok,logs/seed_108594.log
108594,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1737,0.1671,0.3408,179.3081999999997,5.1955,8,4,110,450,450,0,42.594300000000004,1.2342,44,10,325,137,44,93,2123.221653846155,61.5205,1,1,22,26,26,0,6.617232,0,ok,logs/seed_108594.log
302326,baseline,NHEFT,1,0.0,0,0,0,0.1971,0.1788,0.3759,123.09649999999998,3.0399,10,3,137,473,473,0,42.4929,1.0494,40,10,330,135,35,100,41.32040217706821,1.0204,57,12,340,186,127,59,6.321259,0,ok,logs/seed_302326.log
302326,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.1971,0.1788,0.3759,123.09649999999998,3.0399,10,3,137,473,473,0,42.4929,1.0494,40,10,330,135,35,100,1059.22554959217,26.158,1,1,22,27,27,0,6.321259,0,ok,logs/seed_302326.log
830943,baseline,NHEFT,1,0.0,0,0,0,0.1994,0.1696,0.369,164.8051,4.6849,7,2,91,445,445,0,40.8347,1.1608,43,8,297,109,39,70,46.73442256473489,1.3285,45,11,314,122,78,44,5.977679,0,ok,logs/seed_830943.log
