seed,variant,variant_display_label,is_baseline_nheft,configured_tolerance,configured_comp_advantage,configured_drt_advantage,configured_irt_advantage,ccr_data,idr_image,nccr_total,heft_makespan,heft_slr,heft_vcpus,heft_hosts,heft_instances,heft_image_dl_total,heft_image_from_repo,heft_image_from_host,dheft_makespan,dheft_slr,dheft_vcpus,dheft_hosts,dheft_instances,dheft_image_dl_total,dheft_image_from_repo,dheft_image_from_host,nheft_makespan,nheft_slr,nheft_vcpus,nheft_hosts,nheft_instances,nheft_image_dl_total,nheft_image_from_repo,nheft_image_from_host,time_sec,return_code,status,log_file
741896,baseline,NHEFT,1,0.0,0,0,0,0.5873,0.7434,1.3307,598.8949999999988,18.3879,4,3,55,442,442,0,84.62290000000002,2.5982,51,12,277,139,45,94,47.65702953929539,1.4632,57,14,337,174,95,79,6.953357,0,ok,logs/seed_741896.log
430515,baseline,NHEFT,1,0.0,0,0,0,0.5609,0.783,1.3439,401.8432000000003,9.9356,4,2,61,468,468,0,70.01430000000002,1.7311,45,12,285,130,51,79,52.9945729745223,1.3103,53,11,334,184,107,77,6.510726,0,ok,logs/seed_430515.log
888075,baseline,NHEFT,1,0.0,0,0,0,0.5589,0.6883,1.2472,361.41749999999973,9.2861,6,3,79,471,471,0,67.08619999999999,1.7237,44,11,315,125,47,78,56.30221375955525,1.4466,52,13,333,201,123,78,7.328392,0,ok,logs/seed_888075.log
914983,baseline,NHEFT,1,0.0,0,0,0,0.6362,0.8934,1.5296,534.5115999999996,14.9651,3,2,42,446,446,0,76.08670000000001,2.1303,38,9,246,107,46,61,61.09321290322581,1.7105,46,11,300,145,89,56,6.770463,0,ok,logs/seed_914983.log
997971,baseline,NHEFT,1,0.0,0,0,0,0.564,0.6555,1.2195,392.72749999999996,13.2326,8,4,69,478,478,0,70.1298,2.363,47,10,284,137,46,91,59.88187066475879,2.0177,59,13,339,165,95,70,8.50839,0,ok,logs/seed_997971.log
747642,baseline,NHEFT,1,0.0,0,0,0,0.4962,0.6113,1.1075,532.3846000000004,12.0371,4,2,45,466,466,0,74.95680000000002,1.6948,41,11,280,123,44,79,54.34780611875291,1.2288,45,14,297,159,87,72,6.566685,0,ok,logs/seed_747642.log
664527,baseline,NHEFT,1,0.0,0,0,0,0.5544,0.8906,1.445,515.2142999999995,12.5175,8,4,78,485,485,0,81.39110000000001,1.9775,43,10,294,123,50,73,54.839061403508765,1.3324,42,10,326,171,100,71,10.547954,0,ok,logs/seed_664527.log
760044,baseline,NHEFT,1,0.0,0,0,0,0.487,0.6329,1.1199,539.0984000000012,10.2237,4,2,55,458,458,0,84.95810000000002,1.6112,42,10,282,122,38,84,60.868040998487146,1.1543,55,13,322,155,89,66,10.743571,0,ok,logs/seed_760044.log
215549,baseline,NHEFT,1,0.0,0,0,0,0.549,0.8054,1.3544,451.5542999999991,12.7786,3,1,53,465,465,0,68.97670000000002,1.952,38,9,287,103,48,55,49.8377341296098,1.4104,50,10,323,143,98,45,6.781969,0,ok,logs/seed_215549.log
370191,baseline,NHEFT,1,0.0,0,0,0,0.5241,0.7591,1.2832,576.7255999999993,16.2852,5,3,57,469,469,0,76.8448,2.1699,42,8,283,102,40,62,55.01621239000557,1.5535,46,12,329,125,74,51,8.779723,0,ok,logs/seed_370191.log
